Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1660588758,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660588759,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660588760,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660588761,4,,Aggregated,0.000000,0.000000,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2,0,1900.0,2357.9527500114636,1899.1801000083797,2816.7254000145476,31503.5
1660588762,5,,Aggregated,0.000000,0.000000,1900,1900,2800,2800,2800,2800,2800,2800,2800,2800,2800,3,0,1900.0,1698.4255000036985,379.3709999881685,2816.7254000145476,36564.333333333336
1660588763,5,,Aggregated,0.000000,0.000000,1900,1900,2800,2800,2800,2800,2800,2800,2800,2800,2800,4,0,810.0,1477.139275004447,379.3709999881685,2816.7254000145476,74206.5
1660588764,5,,Aggregated,0.750000,0.000000,1800,1900,2800,2800,3900,3900,3900,3900,3900,3900,3900,7,0,1800.0,1888.3671000034415,379.3709999881685,3878.7406999908853,805577.2857142857
1660588765,5,,Aggregated,0.600000,0.000000,1900,2100,2800,2800,3900,3900,3900,3900,3900,3900,3900,8,0,1800.0,1910.968762502307,379.3709999881685,3878.7406999908853,750603.875
1660588766,5,,Aggregated,0.833333,0.000000,1600,1900,2100,2100,2800,3900,3900,3900,3900,3900,3900,11,0,1600.0,1594.7428000006105,328.2177000073716,3878.7406999908853,710480.0909090909
1660588767,5,,Aggregated,1.000000,0.000000,1600,1900,2100,2500,2800,3900,3900,3900,3900,3900,3900,13,0,1600.0,1602.3595384635532,328.2177000073716,3878.7406999908853,875236.7692307692
1660588768,5,,Aggregated,1.250000,0.000000,1600,1800,2100,2100,2800,3900,3900,3900,3900,3900,3900,16,0,1400.0,1535.9207562523807,328.2177000073716,3878.7406999908853,1045392.0625
1660588769,5,,Aggregated,1.333333,0.000000,1400,1800,1900,2100,2800,3900,3900,3900,3900,3900,3900,19,0,1400.0,1453.4591210540384,328.2177000073716,3878.7406999908853,1095130.8421052631
1660588770,5,,Aggregated,1.333333,0.000000,1300,1800,1900,1900,2500,2800,3900,3900,3900,3900,3900,21,0,1300.0,1363.1312285724562,328.2177000073716,3878.7406999908853,1010315.619047619
1660588771,5,,Aggregated,1.600000,0.000000,930,1600,1900,1900,2500,2800,3900,3900,3900,3900,3900,24,0,810.0,1287.236545835185,328.2177000073716,3878.7406999908853,907349.0833333334
1660588772,5,,Aggregated,2.100000,0.000000,1300,1800,1800,1900,2500,2800,3900,3900,3900,3900,3900,26,0,930.0,1313.1896153858038,328.2177000073716,3878.7406999908853,1041308.4615384615
1660588773,5,,Aggregated,2.100000,0.000000,830,1600,1800,1900,2500,2800,3900,3900,3900,3900,3900,29,0,830.0,1254.2908413793314,328.2177000073716,3878.7406999908853,959073.6896551724
1660588774,5,,Aggregated,2.200000,0.000000,830,1600,1800,1800,2100,2800,3900,3900,3900,3900,3900,32,0,810.0,1214.4147187509589,328.2177000073716,3878.7406999908853,986021.875
1660588775,5,,Aggregated,2.300000,0.000000,810,1400,1800,1800,2100,2800,3900,3900,3900,3900,3900,36,0,760.0,1134.590397223494,261.62860001204535,3878.7406999908853,928172.9166666666
1660588776,5,,Aggregated,2.600000,0.000000,760,1400,1700,1800,2100,2800,3900,3900,3900,3900,3900,38,0,750.0,1098.2836973692572,261.62860001204535,3878.7406999908853,885138.4210526316
1660588777,5,,Aggregated,2.700000,0.000000,760,940,1600,1800,1900,2500,3900,3900,3900,3900,3900,42,0,750.0,1056.382814285739,261.62860001204535,3878.7406999908853,853193.1666666666
1660588778,5,,Aggregated,2.700000,0.000000,730,940,1500,1800,1900,2500,3900,3900,3900,3900,3900,45,0,730.0,1022.9590466666398,261.62860001204535,3878.7406999908853,813522.1777777778
